Course,Level,Topics
Django for Web,Intermediate,"Django for Web Data Processing, Django for Web Tools and Methods, Django for Web Core Concepts"
Network Security,Advanced,"Network Security Research & Development, Network Security Performance Tuning, Network Security Optimization Techniques"
DevOps,Advanced,"DevOps Optimization Techniques, DevOps Performance Tuning, DevOps Case Studies"
Ethical Hacking,Intermediate,"Ethical Hacking Practical Applications, Ethical Hacking Tools and Methods, Ethical Hacking Data Processing"
DevOps,Beginner,"DevOps Basic Syntax, DevOps Fundamentals, DevOps Foundations"
Network Troubleshooting,Advanced,"Network Troubleshooting Performance Tuning, Network Troubleshooting Complex Data Structures, Network Troubleshooting Optimization Techniques"
Network Fundamentals,Beginner,"Network Fundamentals Introduction, Network Fundamentals Basic Syntax, Network Fundamentals Fundamentals"
Database Administration,Intermediate,"Database Administration Data Processing, Database Administration Tools and Methods, Database Administration Core Concepts"
Unsupervised Learning,Beginner,"Unsupervised Learning Fundamentals, Unsupervised Learning Basic Syntax, Unsupervised Learning Introduction"
Ethical Hacking,Beginner,"Ethical Hacking Foundations, Ethical Hacking Setup and Installation, Ethical Hacking Introduction"
Network Fundamentals,Intermediate,"Network Fundamentals Tools and Methods, Network Fundamentals Data Processing, Network Fundamentals Core Concepts"
Cryptography,Intermediate,"Cryptography Practical Applications, Cryptography Tools and Methods, Cryptography Data Processing"
Security in Cloud,Beginner,"Security in Cloud Fundamentals, Security in Cloud Introduction, Security in Cloud Basic Syntax"
Data Analysis with Python,Intermediate,"Data Analysis with Python Core Concepts, Data Analysis with Python Algorithms, Data Analysis with Python Data Processing"
Unsupervised Learning,Advanced,"Unsupervised Learning Performance Tuning, Unsupervised Learning Complex Data Structures, Unsupervised Learning Case Studies"
Database Administration,Intermediate,"Database Administration Core Concepts, Database Administration Tools and Methods, Database Administration Algorithms"
Software Testing,Beginner,"Software Testing Fundamentals, Software Testing Foundations, Software Testing Introduction"
Java Programming,Beginner,"Java Programming Setup and Installation, Java Programming Fundamentals, Java Programming Basic Syntax"
NoSQL Databases,Beginner,"NoSQL Databases Fundamentals, NoSQL Databases Introduction, NoSQL Databases Basic Syntax"
Introduction to AI,Beginner,"Introduction to AI Setup and Installation, Introduction to AI Fundamentals, Introduction to AI Foundations"
Data Analysis with Python,Advanced,"Data Analysis with Python Performance Tuning, Data Analysis with Python Complex Data Structures, Data Analysis with Python Research & Development"
Introduction to AI,Beginner,"Introduction to AI Fundamentals, Introduction to AI Basic Syntax, Introduction to AI Setup and Installation"
Security in Cloud,Beginner,"Security in Cloud Setup and Installation, Security in Cloud Basic Syntax, Security in Cloud Fundamentals"
Advanced AI Topics,Advanced,"Advanced AI Topics Research & Development, Advanced AI Topics Optimization Techniques, Advanced AI Topics Complex Data Structures"
Advanced SQL Queries,Intermediate,"Advanced SQL Queries Core Concepts, Advanced SQL Queries Data Processing, Advanced SQL Queries Tools and Methods"
Software Testing,Advanced,"Software Testing Research & Development, Software Testing Optimization Techniques, Software Testing Complex Data Structures"
Backend with Node.js,Beginner,"Backend with Node.js Setup and Installation, Backend with Node.js Introduction, Backend with Node.js Foundations"
Ruby Programming,Beginner,"Ruby Programming Fundamentals, Ruby Programming Setup and Installation, Ruby Programming Introduction"
Deep Learning,Beginner,"Deep Learning Setup and Installation, Deep Learning Introduction, Deep Learning Basic Syntax"
Network Fundamentals,Intermediate,"Network Fundamentals Practical Applications, Network Fundamentals Algorithms, Network Fundamentals Core Concepts"
Java Programming,Beginner,"Java Programming Fundamentals, Java Programming Introduction, Java Programming Setup and Installation"
Agile Methodologies,Beginner,"Agile Methodologies Foundations, Agile Methodologies Basic Syntax, Agile Methodologies Fundamentals"
Software Development Life Cycle,Advanced,"Software Development Life Cycle Case Studies, Software Development Life Cycle Complex Data Structures, Software Development Life Cycle Optimization Techniques"
Deep Learning,Advanced,"Deep Learning Case Studies, Deep Learning Complex Data Structures, Deep Learning Performance Tuning"
Security in Cloud,Intermediate,"Security in Cloud Algorithms, Security in Cloud Tools and Methods, Security in Cloud Practical Applications"
SQL for Beginners,Advanced,"SQL for Beginners Complex Data Structures, SQL for Beginners Optimization Techniques, SQL for Beginners Performance Tuning"
Data Visualization,Beginner,"Data Visualization Setup and Installation, Data Visualization Basic Syntax, Data Visualization Fundamentals"
Data Visualization,Advanced,"Data Visualization Research & Development, Data Visualization Performance Tuning, Data Visualization Optimization Techniques"
Introduction to Cybersecurity,Beginner,"Introduction to Cybersecurity Basic Syntax, Introduction to Cybersecurity Fundamentals, Introduction to Cybersecurity Setup and Installation"
Network Troubleshooting,Beginner,"Network Troubleshooting Basic Syntax, Network Troubleshooting Fundamentals, Network Troubleshooting Foundations"
Database Design,Intermediate,"Database Design Algorithms, Database Design Tools and Methods, Database Design Data Processing"
Django for Web,Beginner,"Django for Web Foundations, Django for Web Fundamentals, Django for Web Setup and Installation"
HTML & CSS Basics,Beginner,"HTML & CSS Basics Introduction, HTML & CSS Basics Setup and Installation, HTML & CSS Basics Fundamentals"
Machine Learning Basics,Advanced,"Machine Learning Basics Performance Tuning, Machine Learning Basics Research & Development, Machine Learning Basics Optimization Techniques"
Advanced Networking,Beginner,"Advanced Networking Basic Syntax, Advanced Networking Introduction, Advanced Networking Foundations"
Supervised Learning,Beginner,"Supervised Learning Basic Syntax, Supervised Learning Fundamentals, Supervised Learning Foundations"
Machine Learning Basics,Beginner,"Machine Learning Basics Basic Syntax, Machine Learning Basics Fundamentals, Machine Learning Basics Introduction"
Software Testing,Intermediate,"Software Testing Core Concepts, Software Testing Practical Applications, Software Testing Data Processing"
Advanced Networking,Advanced,"Advanced Networking Research & Development, Advanced Networking Case Studies, Advanced Networking Performance Tuning"
Deep Learning,Advanced,"Deep Learning Optimization Techniques, Deep Learning Complex Data Structures, Deep Learning Research & Development"
Security in Cloud,Intermediate,"Security in Cloud Data Processing, Security in Cloud Practical Applications, Security in Cloud Core Concepts"
Ruby Programming,Beginner,"Ruby Programming Basic Syntax, Ruby Programming Setup and Installation, Ruby Programming Foundations"
Requirements Engineering,Intermediate,"Requirements Engineering Data Processing, Requirements Engineering Core Concepts, Requirements Engineering Algorithms"
Database Design,Advanced,"Database Design Complex Data Structures, Database Design Research & Development, Database Design Optimization Techniques"
Advanced SQL Queries,Beginner,"Advanced SQL Queries Fundamentals, Advanced SQL Queries Introduction, Advanced SQL Queries Basic Syntax"
Deep Learning,Beginner,"Deep Learning Setup and Installation, Deep Learning Basic Syntax, Deep Learning Introduction"
C++ Programming,Beginner,"C++ Programming Basic Syntax, C++ Programming Introduction, C++ Programming Foundations"
Deep Learning,Advanced,"Deep Learning Optimization Techniques, Deep Learning Case Studies, Deep Learning Research & Development"
Data Analysis with Python,Beginner,"Data Analysis with Python Foundations, Data Analysis with Python Introduction, Data Analysis with Python Fundamentals"
Requirements Engineering,Advanced,"Requirements Engineering Optimization Techniques, Requirements Engineering Case Studies, Requirements Engineering Research & Development"
Network Security,Advanced,"Network Security Case Studies, Network Security Research & Development, Network Security Optimization Techniques"
Software Development Life Cycle,Beginner,"Software Development Life Cycle Setup and Installation, Software Development Life Cycle Foundations, Software Development Life Cycle Fundamentals"
Reinforcement Learning,Advanced,"Reinforcement Learning Research & Development, Reinforcement Learning Optimization Techniques, Reinforcement Learning Complex Data Structures"
Software Testing,Advanced,"Software Testing Optimization Techniques, Software Testing Performance Tuning, Software Testing Case Studies"
Network Fundamentals,Beginner,"Network Fundamentals Basic Syntax, Network Fundamentals Introduction, Network Fundamentals Foundations"
Network Defense,Intermediate,"Network Defense Practical Applications, Network Defense Core Concepts, Network Defense Algorithms"
Database Administration,Advanced,"Database Administration Complex Data Structures, Database Administration Optimization Techniques, Database Administration Performance Tuning"
Reinforcement Learning,Advanced,"Reinforcement Learning Optimization Techniques, Reinforcement Learning Complex Data Structures, Reinforcement Learning Case Studies"
Python Programming,Advanced,"Python Programming Complex Data Structures, Python Programming Research & Development, Python Programming Case Studies"
Software Development Life Cycle,Advanced,"Software Development Life Cycle Optimization Techniques, Software Development Life Cycle Case Studies, Software Development Life Cycle Research & Development"
